Vessel Name,Voyage,Local Voyage,Service,ETA,ETD,Terminal,Cargo Volume,Expected Duration (hours),"Weather (0=dry,1=wet)"
MARCOPOLO 906,179J4S,OS017,Englee Feeder Service (MAREXT),4/10/2023 10:35,4/10/2023 11:35,PSA TERMINAL,19,1,0
MARCOPOLO 906,179J4S,OS017,Englee Feeder Service (MAREXT),4/10/2023 10:35,4/10/2023 11:35,PSA TERMINAL,20,1,0
SINAR SUNDA,4164YN,150N,Vietnam Singapore Feeder (VS2APL),4/10/2023 12:00,5/10/2023 16:00,PSA TERMINAL,508,28,0
MARCOPOLO 182,70655R,TS042,Feeder of IDTTI to SGSIN (TTIAPL),4/10/2023 14:00,5/10/2023 15:00,PSA TERMINAL,482,25,0
SELATAN DAMAI,3713WW,,South East Asia Feeder 15 (SEASIA15),4/10/2023 15:20,5/10/2023 9:20,PSA TERMINAL,345,18,0
CAPRICORN 59,W286FN,RB701,South East Asia Feeder 1 (SEASIA1),4/10/2023 15:35,5/10/2023 1:35,PSA TERMINAL,209,10,0
MTT SIBU,6031YN,J062S,South East Asia Feeder 2 (SEASIA2),4/10/2023 16:00,4/10/2023 19:00,PSA TERMINAL,72,3,1
NAJADE,434D5W,45834E,MADRAS SERVICE 2 (MD2APL),4/10/2023 16:00,5/10/2023 20:00,PSA TERMINAL,573,28,0
MTT MUARA,2354QE,215W,South East Asia Feeder 18 (SEASIA18),4/10/2023 17:00,4/10/2023 18:00,PSA TERMINAL,20,1,1
MARCO POLO 128,5468AR,PS371,South East Asia Feeder 49 (SEASIA49),4/10/2023 17:30,5/10/2023 7:30,PSA TERMINAL,283,14,0
SINAR SIANTAR,87353W,022N,SGN-BEL Feeder Service (SGBEAPL),4/10/2023 18:00,5/10/2023 19:00,PSA TERMINAL,543,25,1
APL TBN 18,3312VR,,South East Asia Feeder 8 (SEASIA8),4/10/2023 19:00,4/10/2023 20:00,PSA TERMINAL,19,1,0
ATI BHUM,189E1N,301NE,RCL Palembang Pasir Gudang Service (RPE2ATI),4/10/2023 22:00,5/10/2023 10:00,PSA TERMINAL,271,12,1
ISEACO GENESIS,114KIS,204W,GAF Central Vietnam service (CVS) (UIH1),5/10/2023 0:00,5/10/2023 10:00,PSA TERMINAL,218,10,0
KOTA LUMBA,0HG8FW1MA,0106W,Asia Subcontinent Express 9 (AS9),5/10/2023 6:00,6/10/2023 2:00,PSA TERMINAL,391,20,0
MAERSK NASSJO,2536CN,339N,South East Asia Feeder 31 (SEASIA31),5/10/2023 5:30,5/10/2023 14:31,PSA TERMINAL,199,9.016666667,0
BATAMINDO V,C47J0S,83370S,Batamindo Feeder Service (BATAMAPL),5/10/2023 4:46,5/10/2023 20:45,PSA TERMINAL,313,15.98333333,0
HR HERA,76TQ1S,0056S,South Asia Feeder 1 (SASIA1),5/10/2023 6:30,5/10/2023 7:30,PSA TERMINAL,18,1,0
SCION MAFALDA,09PD3S1MA,3723S,PAX ANL (PAXANL),5/10/2023 7:00,6/10/2023 17:00,PSA TERMINAL,644,34,0
SOUL OF LUCK,87253E,412N,SGN-BEL Feeder Service (SGBEAPL),5/10/2023 9:00,5/10/2023 10:00,PSA TERMINAL,19,1,0
LL 2508,2068DR,39 JN,South East Asia Feeder 68 (SEASIA68),5/10/2023 9:00,5/10/2023 13:00,PSA TERMINAL,79,4,0
MARCO POLO 220,161J4S,OS078,Englee Feeder Service (MAREXT),5/10/2023 9:00,6/10/2023 10:00,PSA TERMINAL,603,25,1
MARCO POLO 220,161J4S,OS078,Englee Feeder Service (MAREXT),5/10/2023 9:00,6/10/2023 10:00,PSA TERMINAL,532,25,0
SINAR SORONG,300H9N,0191S,South East Asia Feeder 75 (SEASIA75),5/10/2023 10:00,6/10/2023 10:00,PSA TERMINAL,535,24,0
BATAMINDO III,C49J0S,93369S,Batamindo Feeder Service (BATAMAPL),5/10/2023 10:00,5/10/2023 12:00,PSA TERMINAL,38,2,0
SAMUDRA BINTAN 88,W386FN,05K23P,South East Asia Feeder 1 (SEASIA1),5/10/2023 11:30,6/10/2023 11:30,PSA TERMINAL,498,24,0
DANU BHUM,0RCB9N1MA,524S,Singapore Songkhla Express (RSECNC),5/10/2023 13:00,6/10/2023 9:00,PSA TERMINAL,417,20,1
LL 2506,K0S8DR,,South East Asia Feeder 68 (SEASIA68),5/10/2023 14:00,5/10/2023 15:00,PSA TERMINAL,20,1,0
GOLDEN STAR 1,7253TN,6226S,South East Asia Feeder 13 (SEASIA13),5/10/2023 17:00,6/10/2023 9:00,PSA TERMINAL,297,16,0
DANU BHUM,A4SE1W,524S,RCL Palembang Pasir Gudang Service (RPE2ATI),5/10/2023 18:00,6/10/2023 10:00,PSA TERMINAL,364,16,0
SUNRISE DRAGON,I9S8JS,,South East Asia Feeder 51 (SEASIA51),5/10/2023 18:34,6/10/2023 0:34,PSA TERMINAL,116,6,0
SOL STRIDE,C6SR3N,2308S,Straits Bengal Service (SBSAPL),5/10/2023 19:00,5/10/2023 20:00,PSA TERMINAL,19,1,0
MARCOPOLO 258,5458AR,PS040,South East Asia Feeder 49 (SEASIA49),5/10/2023 21:10,6/10/2023 11:10,PSA TERMINAL,302,14,1
WIDE JULIET,2665UE,033E,FAS Hercules Service (GULFHERC),5/10/2023 22:00,6/10/2023 16:00,PSA TERMINAL,347,18,0
SEAMAX STRATFORD,0FB9TW1MA,125W,China India Express (CIX),6/10/2023 1:30,7/10/2023 1:30,PSA TERMINAL,519,24,0
CMA CGM WHITE SHARK,0XL3RS1MA,0XL3RS1NC,Korea China South East Asia Service (KCSCNC),6/10/2023 2:00,7/10/2023 1:00,PSA TERMINAL,463,23,0
MTT SIBU,C313DN,J063S,SGSIN MYPGU SGSIN Service (PGU1APL),6/10/2023 2:00,6/10/2023 20:00,PSA TERMINAL,348,18,1
MTT SIBU,6051YN,J063S,South East Asia Feeder 2 (SEASIA2),6/10/2023 3:00,6/10/2023 19:00,PSA TERMINAL,323,16,1
SUMBER JAYA 22,W186FN,QB363,South East Asia Feeder 1 (SEASIA1),6/10/2023 3:25,6/10/2023 4:25,PSA TERMINAL,24,1,1
CMA CGM VALENCIA,0BYF6N1MA,0BYF6N1NC,China Korea Malaysia Service (KCM2CNC),6/10/2023 18:00,7/10/2023 12:00,PSA TERMINAL,452,18,1
CAPRICORN 57,W246FN,MB064,South East Asia Feeder 1 (SEASIA1),6/10/2023 7:30,6/10/2023 8:30,PSA TERMINAL,20,1,1
SAFEEN PIONEER,42SD5W,068W,MADRAS SERVICE 2 (MD2APL),6/10/2023 11:00,6/10/2023 19:00,PSA TERMINAL,160,8,1
DANUM 159,422F8R,59224A,PENANG PORT KELANG SINGAPORE SERVICE (MA5APL),6/10/2023 14:00,6/10/2023 15:00,PSA TERMINAL,20,1,0
KOTA RAKYAT,3592XN,0219S,South East Asia Feeder 9 (SEASIA9),6/10/2023 11:00,7/10/2023 11:00,PSA TERMINAL,447,24,0
NAP 310,82S8AR,,South East Asia Feeder 49 (SEASIA49),6/10/2023 15:00,7/10/2023 16:00,PSA TERMINAL,520,25,0
HARBOUR RUBY,0707UR,RB174,South East Asia Feeder 48 (SEASIA48),6/10/2023 13:06,6/10/2023 15:06,PSA TERMINAL,46,2,1
ATI BHUM,191E1W,301NE,RCL Palembang Pasir Gudang Service (RPE2ATI),6/10/2023 14:00,7/10/2023 2:00,PSA TERMINAL,241,12,1
CELANDINE,H0S8JN,,South East Asia Feeder 51 (SEASIA51),6/10/2023 15:45,6/10/2023 21:45,PSA TERMINAL,146,6,0
RITA,187I4N,040S,Manila Singapore Feeder (SSLAPL),6/10/2023 15:00,8/10/2023 11:00,PSA TERMINAL,1016,44,1
CAPRICORN 59,W366FN,RB703,South East Asia Feeder 1 (SEASIA1),6/10/2023 15:35,6/10/2023 16:35,PSA TERMINAL,20,1,1
CTP FORTUNE,0RMAIR1MA,286S,RCL Manila Singapore Express (RMNCNC),6/10/2023 20:00,8/10/2023 2:00,PSA TERMINAL,573,30,0
INDO SUKSES 51,2942BE,086W,South East Asia Feeder 4 (SEASIA4),6/10/2023 20:30,7/10/2023 16:30,PSA TERMINAL,415,20,0
CAP ANDREAS,2635UW,005W,FAS Hercules Service (GULFHERC),6/10/2023 22:00,7/10/2023 18:00,PSA TERMINAL,421,20,0
MCP SALZBURG,09PCYS2MA,3623S,PAX ANL (PAXANL),6/10/2023 22:30,8/10/2023 22:30,PSA TERMINAL,946,48,0
JEJU ISLAND,0QREGN1MA,2304S,Korea Indonesia 2 Service (KI2CNC),7/10/2023 0:30,8/10/2023 0:30,PSA TERMINAL,587,24,1
FSL SINGAPORE,3768IN,081E,South East Asia Feeder 61 (SEASIA61),7/10/2023 3:00,8/10/2023 3:00,PSA TERMINAL,469,24,0
BATAMINDO V,C51J0S,,Batamindo Feeder Service (BATAMAPL),7/10/2023 4:46,7/10/2023 20:45,PSA TERMINAL,363,15.98333333,0
PACIFIC SUN 1,X8T1YN,,South East Asia Feeder 2 (SEASIA2),7/10/2023 7:00,7/10/2023 8:00,PSA TERMINAL,22,1,0
SKY WIND,681A5N,027S,GAF Bangladesh Feeder SBFX3 (SBFX3),7/10/2023 15:45,7/10/2023 18:45,PSA TERMINAL,57,3,0
HARBOUR EXPRESS,2394ZR,HE162,South East Asia Feeder 20 (SEASIA20),7/10/2023 9:00,7/10/2023 15:00,PSA TERMINAL,112,6,0
KOTA JOHAN,2362YN,0397S,South East Asia Feeder 10 (SEASIA10),7/10/2023 9:00,8/10/2023 10:00,PSA TERMINAL,496,25,1
NAP 910,193J4S,,Englee Feeder Service (MAREXT),7/10/2023 11:00,8/10/2023 12:00,PSA TERMINAL,510,25,0
BATAMINDO III,C53J0S,93371S,Batamindo Feeder Service (BATAMAPL),7/10/2023 12:00,7/10/2023 14:00,PSA TERMINAL,41,2,0
SOL MALAYSIA,B9TQ1S,2318S,South Asia Feeder 1 (SASIA1),7/10/2023 13:35,7/10/2023 16:35,PSA TERMINAL,72,3,1
SUMBER JAYA 22,W266FN,,South East Asia Feeder 1 (SEASIA1),7/10/2023 13:55,7/10/2023 14:55,PSA TERMINAL,22,1,1
BRIGHT LAEM CHABANG,93556S,115N,Semarang Feeder Service (SRGAPL),7/10/2023 15:00,8/10/2023 15:00,PSA TERMINAL,472,24,0
CAP ANDREAS,0FH9PW1MA,005W,Asia Subcontinent Express 8 (AS8),7/10/2023 14:00,8/10/2023 16:00,PSA TERMINAL,525,26,0
MARCOPOLO 256,5178AR,,South East Asia Feeder 49 (SEASIA49),7/10/2023 16:20,7/10/2023 17:20,PSA TERMINAL,21,1,0
GOLDEN STAR 1,7273TN,6227S,South East Asia Feeder 13 (SEASIA13),7/10/2023 17:00,8/10/2023 9:00,PSA TERMINAL,313,16,0
NAP 904,67SJ4S,,Englee Feeder Service (MAREXT),7/10/2023 17:00,8/10/2023 18:00,PSA TERMINAL,549,25,1
MAERSK CAPE TOWN,08YG7W1MA,338W,New Africa Express (NWAFEX),7/10/2023 19:00,8/10/2023 14:30,PSA TERMINAL,374,19.5,0
MTT SIBU,C333DW,J064S,SGSIN MYPGU SGSIN Service (PGU1APL),8/10/2023 2:00,9/10/2023 20:00,PSA TERMINAL,908,42,0
CMA CGM MISSOURI,0BDG3W1MA,0BDG3W1MA,Asia South America East Coast 2 (SEAS2),8/10/2023 2:30,8/10/2023 20:30,PSA TERMINAL,362,18,0
MTT SIBU,6071YN,J064S,South East Asia Feeder 2 (SEASIA2),8/10/2023 3:00,9/10/2023 19:00,PSA TERMINAL,804,40,0
KOTA RUKUN,126D3R,0112E,SINGAPORE MONGLA SERVICE (MGBAPL),8/10/2023 4:00,8/10/2023 23:00,PSA TERMINAL,337,19,0
KOTA NANHAI,0CS5XE1MA,0080W,South Philippines Express (SPXCNC),8/10/2023 4:00,9/10/2023 2:00,PSA TERMINAL,430,22,0
METHI BHUM,X4T1YN,403S,South East Asia Feeder 2 (SEASIA2),8/10/2023 6:00,8/10/2023 11:00,PSA TERMINAL,102,5,0
KOTA RIA,3833WW,0551E,South East Asia Feeder 15 (SEASIA15),8/10/2023 6:37,8/10/2023 8:37,PSA TERMINAL,40,2,1
X-PRESS HOOGLY,3868IN,23104S,South East Asia Feeder 61 (SEASIA61),8/10/2023 14:00,8/10/2023 15:00,PSA TERMINAL,21,1,0
SAMUDRA BINTAN 88,W466FN,10K23P,South East Asia Feeder 1 (SEASIA1),8/10/2023 7:30,9/10/2023 8:30,PSA TERMINAL,502,25,0
INFINITI 5,92958N,H3K01N,Singapore Pasir Gudang Service (SGPAPL),8/10/2023 8:00,8/10/2023 12:00,PSA TERMINAL,83,4,0
CAPRICORN 57,W326FN,MB065,South East Asia Feeder 1 (SEASIA1),8/10/2023 12:00,8/10/2023 13:00,PSA TERMINAL,19,1,0
MARCO POLO 252,5208AR,,South East Asia Feeder 49 (SEASIA49),8/10/2023 14:00,9/10/2023 4:00,PSA TERMINAL,275,14,0
SINAR PENIDA,N1S7KS,154N,South East Asia Feeder 43 (SEASIA43),8/10/2023 14:00,9/10/2023 8:00,PSA TERMINAL,372,18,1
ANTWERP BRIDGE,06LF5S1MA,225,KIX ANL (KIXANL),8/10/2023 20:00,10/10/2023 7:00,PSA TERMINAL,744,35,0
CAPRICORN 59,W446FN,RB704,South East Asia Feeder 1 (SEASIA1),8/10/2023 22:35,9/10/2023 1:35,PSA TERMINAL,60,3,0
EVER URSULA,04IFKE1MA,189E,Asea Kenya (ASEA2),9/10/2023 0:00,9/10/2023 20:00,PSA TERMINAL,453,20,1
SUNRISE DRAGON,G7S8JN,340S,South East Asia Feeder 51 (SEASIA51),9/10/2023 0:08,9/10/2023 6:08,PSA TERMINAL,127,6,0
BATAMINDO V,C55J0S,,Batamindo Feeder Service (BATAMAPL),9/10/2023 4:46,9/10/2023 20:45,PSA TERMINAL,336,15.98333333,0
PADIAN 4,2568BS,0010S,South East Asia Feeder 69 (SEASIA69),9/10/2023 6:00,9/10/2023 7:00,PSA TERMINAL,21,1,1
ROSA,0958ER,339N,South East Asia Feeder 67 (SEASIA67),9/10/2023 6:00,10/10/2023 4:00,PSA TERMINAL,441,22,0
EVER LENIENT,0AAN3W1MA,1558-057W,Asia South America East Coast 1 (SEAS),9/10/2023 9:30,9/10/2023 21:30,PSA TERMINAL,247,12,0
SINAR SANUR,93756S,029N,Semarang Feeder Service (SRGAPL),9/10/2023 10:00,10/10/2023 10:00,PSA TERMINAL,485,24,0
CAPE FORTIUS,409A3W,112E,GAF Bangladesh Feeder SBFX1 (SBFX1),9/10/2023 10:00,10/10/2023 17:00,PSA TERMINAL,670,31,0
SINAR BANDUNG,099KIN,796S,GAF Central Vietnam service (CVS) (UIH1),9/10/2023 11:00,10/10/2023 11:00,PSA TERMINAL,529,24,1
MARCOPOLO 910,151J4S,,Englee Feeder Service (MAREXT),9/10/2023 11:00,10/10/2023 12:00,PSA TERMINAL,469,25,0
MARCOPOLO 910,151J4S,,Englee Feeder Service (MAREXT),9/10/2023 11:00,10/10/2023 12:00,PSA TERMINAL,542,25,0
BATAMINDO III,C57J0S,93372S,Batamindo Feeder Service (BATAMAPL),9/10/2023 11:00,9/10/2023 16:00,PSA TERMINAL,109,5,1
KOTA PAHLAWAN,0BDG5W1MA,0034W,Asia South America East Coast 2 (SEAS2),9/10/2023 12:00,10/10/2023 6:00,PSA TERMINAL,416,18,1
PADIAN 4,2302YN,0010S,South East Asia Feeder 10 (SEASIA10),9/10/2023 15:00,9/10/2023 20:00,PSA TERMINAL,107,5,0
INFINITI 5,93058S,H3K02S,Singapore Pasir Gudang Service (SGPAPL),9/10/2023 18:00,9/10/2023 22:00,PSA TERMINAL,83,4,0
KOTA HANDAL,2548BS,0677S,South East Asia Feeder 69 (SEASIA69),9/10/2023 19:00,10/10/2023 19:00,PSA TERMINAL,493,24,1
KOTA HAPAS,2598BN,0046N,South East Asia Feeder 69 (SEASIA69),9/10/2023 19:00,10/10/2023 19:00,PSA TERMINAL,495,24,0
COSCO SHIPPING NEBULA,0PFLEE1MA,022E,French Asia Line 7 (FAL7),9/10/2023 21:00,10/10/2023 21:00,PSA TERMINAL,575,24,0
APL TBN 68,419J6N,796S,MALAYSIA FEEDER 3 (MA3APL),10/10/2023 1:00,11/10/2023 1:00,PSA TERMINAL,460,24,0
KOTA AZAM,2334QE,2320W,South East Asia Feeder 18 (SEASIA18),10/10/2023 3:06,10/10/2023 9:06,PSA TERMINAL,134,6,0
SUMBER JAYA 22,W346FN,,South East Asia Feeder 1 (SEASIA1),10/10/2023 3:25,10/10/2023 4:25,PSA TERMINAL,21,1,0
EVER DAINTY,04IFTW1MA,174W,Asea Kenya (ASEA2),10/10/2023 5:00,10/10/2023 17:00,PSA TERMINAL,235,12,0
MAERSK HAI PHONG,H4S6CN,339S,South East Asia Feeder 31 (SEASIA31),10/10/2023 5:00,11/10/2023 4:00,PSA TERMINAL,453,23,0
SINAR BINTAN,485W7N,821S,MSX BKX3 Butterfly service (MSXAPL),10/10/2023 7:00,11/10/2023 5:00,PSA TERMINAL,516,22,1
WAN HAI 509,1QY7MN1MA,N130,China South East Asia Loop 1 (CS1CNC),10/10/2023 8:00,11/10/2023 9:00,PSA TERMINAL,529,25,0
MTT SAMALAJU,3272VR,23103S,South East Asia Feeder 8 (SEASIA8),10/10/2023 8:00,10/10/2023 9:00,PSA TERMINAL,24,1,0
LADY OF LUCK,185W0S,225N,Thailand Indonesia Express (RCLAPL),10/10/2023 8:00,10/10/2023 18:00,PSA TERMINAL,212,10,0
MARCO POLO 108,5488AR,,South East Asia Feeder 49 (SEASIA49),10/10/2023 9:00,11/10/2023 6:00,PSA TERMINAL,487,21,1
SINAR BAJO,3382VR,004E,South East Asia Feeder 8 (SEASIA8),10/10/2023 11:00,11/10/2023 12:00,PSA TERMINAL,523,25,0
MARCOPOLO 3022,5268AR,,South East Asia Feeder 49 (SEASIA49),10/10/2023 16:30,11/10/2023 6:30,PSA TERMINAL,257,14,0
GOLDEN STAR 1,7293TN,6228S,South East Asia Feeder 13 (SEASIA13),10/10/2023 17:00,11/10/2023 9:00,PSA TERMINAL,296,16,0
CAPRICORN 57,W406FN,MB066,South East Asia Feeder 1 (SEASIA1),10/10/2023 21:00,10/10/2023 22:00,PSA TERMINAL,19,1,0
HYUNDAI VOYAGER,0QREIN1MA,138N,Korea Indonesia 2 Service (KI2CNC),10/10/2023 21:00,11/10/2023 21:00,PSA TERMINAL,563,24,1
ATI BHUM,193E1N,302S,RCL Palembang Pasir Gudang Service (RPE2ATI),10/10/2023 22:00,11/10/2023 10:00,PSA TERMINAL,244,12,0
SAMUDRA BINTAN 88,W546FN,15K23P,South East Asia Feeder 1 (SEASIA1),10/10/2023 23:30,11/10/2023 9:30,PSA TERMINAL,188,10,1
MTT SIBU,C353DN,,SGSIN MYPGU SGSIN Service (PGU1APL),11/10/2023 2:00,11/10/2023 20:00,PSA TERMINAL,341,18,0
CAPRICORN 59,W526FN,RB705,South East Asia Feeder 1 (SEASIA1),11/10/2023 2:05,11/10/2023 12:05,PSA TERMINAL,215,10,0
MTT SIBU,6091YN,,South East Asia Feeder 2 (SEASIA2),11/10/2023 3:00,11/10/2023 19:00,PSA TERMINAL,299,16,0
PACIFIC SUN 1,Y0T1YN,,South East Asia Feeder 2 (SEASIA2),11/10/2023 5:00,12/10/2023 5:00,PSA TERMINAL,479,24,0
WAN FU DA,4224YN,197N,Vietnam Singapore Feeder (VS2APL),11/10/2023 5:00,12/10/2023 9:00,PSA TERMINAL,575,28,1
